"temp_C","mass_mg"
81.6253,94.299
81.8002,94.2808
81.9637,94.2626
82.1204,94.2442
82.2857,94.2258
82.4511,94.2066
82.5931,94.1887
82.766,94.1716
82.9465,94.1552
83.1,94.1421
83.2427,94.1289
83.607,94.1159
83.7567,94.103
83.9135,94.0916
84.0616,94.0779
84.226,94.0634
84.3725,94.0485
84.5159,94.0318
84.6582,94.0168
84.8034,94.0025
84.9644,93.9887
85.1006,93.9762
85.243,93.9632
85.3815,93.9503
85.5249,93.9377
85.659,93.9262
85.8048,93.9147
85.9399,93.9035
86.0804,93.8924
86.2101,93.8819
86.3358,93.8708
86.4776,93.8594
86.6149,93.8478
86.744,93.836
86.8654,93.8249
87.0017,93.814
87.1259,93.8034
87.2429,93.7931
87.3807,93.7819
87.5085,93.7702
87.6352,93.7584
87.7536,93.747
87.8817,93.7365
88.0017,93.7264
88.1128,93.7166
88.2286,93.7087
88.3491,93.7
88.4619,93.6906
88.5856,93.6807
88.7032,93.6696
88.8283,93.6582
88.925,93.6471
89.0536,93.6361
89.1545,93.6232
89.2744,93.6114
89.3803,93.6002
89.4801,93.5894
89.5885,93.5798
89.7009,93.5695
89.8008,93.5592
89.9168,93.549
90.0151,93.5398
90.1255,93.5308
90.2208,93.5218
90.3201,93.5131
90.4209,93.5046
90.5292,93.4965
90.6183,93.4877
90.7308,93.4786
90.8248,93.4697
90.9259,93.4608
91.0288,93.4529
91.1125,93.4456
91.2144,93.4385
91.3032,93.4327
91.405,93.4263
91.4894,93.42
91.5686,93.4141
91.6642,93.4089
91.7454,93.4038
91.8428,93.3988
91.9303,93.3938
92.0379,93.389
92.1086,93.3831
92.2001,93.3771
92.2928,93.371
92.3662,93.3632
92.4507,93.3565
92.527,93.3499
92.6315,93.3433
92.709,93.337
92.7736,93.3307
92.8681,93.3245
92.953,93.3186
93.0345,93.3131
93.0945,93.3075
93.1854,93.3018
93.268,93.2959
93.3422,93.2904
93.4205,93.2848
93.4984,93.2788
93.582,93.2726
93.654,93.2662
93.7253,93.26
93.7933,93.2539
93.8663,93.2475
93.9416,93.2411
94.0153,93.235
94.0819,93.2291
94.1602,93.2233
94.229,93.2187
94.2945,93.2144
94.368,93.2097
94.4341,93.2045
94.4935,93.2005
94.5648,93.1955
94.6281,93.19
94.6959,93.1845
94.768,93.1783
94.8359,93.1726
94.8929,93.1667
94.9559,93.1607
95.0291,93.1558
95.0889,93.1511
95.1443,93.1467
95.2064,93.1423
95.2658,93.1387
95.3276,93.1348
95.3874,93.1307
95.4518,93.1265
95.5114,93.1223
95.5781,93.1184
95.6163,93.1146
95.6879,93.1107
95.745,93.1067
95.7928,93.1024
95.8406,93.0984
95.9204,93.095
95.9696,93.0921
96.0238,93.0894
96.0803,93.0868
96.1452,93.0841
96.1837,93.0832
96.2392,93.0814
96.3046,93.0793
96.3584,93.0768
96.4163,93.0736
96.4511,93.0702
96.4973,93.0664
96.5522,93.0621
96.6037,93.0566
96.6593,93.0524
96.7073,93.0485
96.7436,93.0447
96.8,93.0412
96.855,93.0378
96.9005,93.0343
96.9396,93.0306
96.9843,93.0266
97.0385,93.0232
97.078,93.0204
97.1209,93.0179
97.1663,93.0158
97.218,93.0158
97.2489,93.0154
97.2965,93.0148
97.3327,93.0143
97.3862,93.0147
97.4408,93.0141
97.475,93.0132
97.5187,93.0121
97.5654,93.0089
97.6175,93.006
97.6526,93.0028
97.6902,92.9995
97.7405,92.9948
97.7676,92.9903
97.8057,92.9858
97.8354,92.9814
97.8848,92.9781
97.9264,92.9749
97.9691,92.9717
98.0027,92.9684
98.0338,92.9666
98.0852,92.964
98.1205,92.9612
98.1562,92.9584
98.186,92.955
98.2307,92.952
98.2706,92.9489
98.2932,92.9456
98.3366,92.9422
98.3694,92.939
98.4122,92.9364
98.4558,92.9341
98.4786,92.9329
98.5213,92.9322
98.5479,92.9321
98.578,92.9321
98.6121,92.9335
98.6559,92.9335
98.681,92.9325
98.7169,92.9312
98.7421,92.9277
98.7812,92.9249
98.812,92.9221
98.8455,92.9195
98.8774,92.9175
98.9155,92.9163
98.9475,92.9147
98.9601,92.9128
98.9919,92.9121
99.0391,92.9104
99.0611,92.9081
99.0865,92.9053
99.1228,92.9001
99.1495,92.896
99.1788,92.8926
99.2001,92.8893
99.2229,92.8859
99.2582,92.8833
99.2828,92.8813
99.3088,92.8798
99.3325,92.8802
99.3585,92.8798
99.3934,92.8791
99.4189,92.8786
99.4333,92.8783
99.4691,92.8788
99.5046,92.8796
99.529,92.8806
99.5484,92.8819
99.5656,92.8839
99.5987,92.8846
99.6335,92.8841
99.6601,92.883
99.6825,92.8804
99.6973,92.8783
99.7148,92.8761
99.7504,92.8735
99.7756,92.8702
99.7966,92.8678
99.8298,92.8658
99.8341,92.8639
99.8555,92.8622
99.8847,92.8607
99.9201,92.8596
99.939,92.8587
99.9592,92.8575
99.9805,92.8563
99.9979,92.8555
100.023,92.8546
100.051,92.8523
100.068,92.8494
100.106,92.8458
100.108,92.8422
100.125,92.8376
100.152,92.8348
100.171,92.8337
100.193,92.8336
100.209,92.8367
100.235,92.8385
100.252,92.8397
100.271,92.8404
100.3,92.8415
100.315,92.8419
100.335,92.842
100.36,92.8417
100.372,92.838
100.377,92.8352
100.403,92.8329
100.425,92.8311
100.443,92.8295
100.459,92.8288
100.47,92.8283
100.492,92.8277
100.518,92.8286
100.53,92.8284
100.548,92.8285
100.572,92.8292
100.585,92.8299
100.605,92.831
100.617,92.8315
100.637,92.8314
100.652,92.832
100.657,92.8315
100.671,92.8307
100.697,92.83
100.707,92.8276
100.735,92.8266
100.748,92.8256
100.758,92.8243
100.786,92.8234
100.796,92.8222
100.795,92.8216
100.818,92.8213
100.835,92.8204
100.852,92.8197
100.86,92.8188
100.861,92.8178
100.889,92.8179
100.913,92.8179
100.918,92.8174
100.931,92.8166
100.95,92.8153
100.966,92.8136
100.979,92.8116
100.982,92.8096
100.991,92.8061
101.017,92.8018
101.033,92.7953
100.911,92.7874
100.984,92.784
101.212,92.7854
101.53,92.7898
101.819,92.7944
102.115,92.8063
102.435,92.8133
102.763,92.8179
103.124,92.8202
103.51,92.8209
103.909,92.8167
104.326,92.8141
104.724,92.8107
105.149,92.8064
105.564,92.8007
106.012,92.7961
106.444,92.7916
106.885,92.787
107.342,92.7829
107.791,92.7789
108.244,92.7747
108.698,92.7703
109.145,92.7658
109.603,92.7613
110.066,92.7569
110.523,92.7526
110.97,92.7483
111.428,92.7443
111.89,92.7403
112.348,92.7362
112.815,92.7322
113.276,92.7275
113.731,92.7224
114.183,92.7173
114.639,92.7125
115.091,92.7078
115.548,92.7028
115.99,92.6976
116.453,92.6933
116.906,92.6887
117.356,92.6836
117.808,92.6782
118.234,92.673
118.691,92.6685
119.144,92.6641
119.596,92.6595
120.039,92.6554
120.486,92.6512
120.931,92.6476
121.369,92.6442
121.805,92.6399
122.249,92.6353
122.69,92.6306
123.13,92.626
123.576,92.6211
124.004,92.6168
124.445,92.6129
124.884,92.6091
125.333,92.6058
125.767,92.6024
126.211,92.5995
126.651,92.5969
127.077,92.595
127.516,92.5934
127.941,92.592
128.38,92.5906
128.817,92.5902
129.251,92.5886
129.683,92.5861
130.112,92.5827
130.549,92.5774
130.984,92.5729
131.412,92.5689
131.84,92.5654
132.281,92.5615
132.705,92.5584
133.14,92.5558
133.57,92.5532
134.002,92.5505
134.432,92.5484
134.86,92.5455
135.299,92.5426
135.723,92.5401
136.166,92.537
136.592,92.5339
137.021,92.5301
137.45,92.5261
137.881,92.5219
138.313,92.5166
138.736,92.5104
139.175,92.5041
139.6,92.4961
140.03,92.4899
140.461,92.4848
140.88,92.4806
141.31,92.4785
141.737,92.4756
142.163,92.4729
142.59,92.4704
143.018,92.47
143.447,92.4689
143.873,92.4679
144.305,92.4669
144.738,92.4661
145.163,92.4646
145.601,92.4627
146.032,92.4605
146.456,92.4569
146.875,92.4531
147.313,92.4482
147.739,92.4421
148.163,92.4332
148.596,92.4258
149.025,92.4185
149.454,92.4107
149.873,92.4014
150.308,92.3939
150.733,92.3875
151.147,92.3815
151.575,92.3773
152.007,92.3728
152.445,92.3689
152.868,92.3657
153.297,92.3651
153.72,92.3632
154.144,92.3608
154.576,92.3585
154.998,92.3571
155.422,92.3552
155.864,92.3529
156.291,92.3503
156.724,92.3462
157.145,92.3423
157.574,92.3385
158.007,92.3347
158.433,92.33
158.852,92.3254
159.291,92.3205
159.712,92.3154
160.138,92.3102
160.561,92.3045
160.99,92.2981
161.422,92.2912
161.849,92.2833
162.273,92.2763
162.706,92.2695
163.134,92.2626
163.556,92.2554
163.998,92.2481
164.428,92.2407
164.853,92.2335
165.277,92.2276
165.708,92.2225
166.134,92.2174
166.56,92.2119
166.987,92.2079
167.426,92.2029
167.848,92.1974
168.285,92.1916
168.704,92.1838
169.129,92.1772
169.563,92.171
169.993,92.1647
170.433,92.158
170.852,92.1509
171.273,92.1436
171.709,92.1364
172.143,92.1286
172.565,92.1209
172.998,92.1127
173.431,92.1044
173.859,92.0961
174.287,92.089
174.722,92.083
175.154,92.0772
175.582,92.0715
176.013,92.0674
176.437,92.0615
176.868,92.0548
177.293,92.0473
177.723,92.0368
178.15,92.0272
178.575,92.0178
179.021,92.0084
179.453,91.9976
179.889,91.9883
180.315,91.9796
180.736,91.971
181.161,91.9639
181.597,91.9559
182.027,91.9472
182.458,91.938
182.881,91.928
183.312,91.9178
183.742,91.9074
184.173,91.897
184.603,91.8861
185.045,91.8763
185.46,91.8668
185.896,91.8575
186.33,91.8495
186.764,91.8403
187.202,91.8308
187.624,91.821
188.048,91.8097
188.488,91.7991
188.916,91.7887
189.35,91.7785
189.775,91.7673
190.214,91.7565
190.64,91.7458
191.067,91.7349
191.499,91.7234
191.929,91.7112
192.368,91.6984
192.784,91.6851
193.213,91.67
193.659,91.6556
194.093,91.6413
194.52,91.6273
194.948,91.6143
195.381,91.6018
195.815,91.589
196.24,91.576
196.672,91.5648
197.1,91.5525
197.539,91.5393
197.971,91.5255
198.409,91.5094
198.844,91.4934
199.275,91.4769
199.703,91.4602
200.135,91.4422
200.566,91.426
200.998,91.4104
201.44,91.395
201.874,91.3811
202.309,91.366
202.734,91.3504
203.161,91.3342
203.594,91.3176
204.026,91.2987
204.465,91.2804
204.889,91.2623
205.321,91.2442
205.757,91.2251
206.19,91.2067
206.618,91.1888
207.05,91.1713
207.485,91.1554
207.918,91.1391
208.341,91.1227
208.786,91.1063
209.216,91.0905
209.657,91.0738
210.083,91.0562
210.519,91.038
210.951,91.0178
211.378,90.9976
211.816,90.9769
212.253,90.9556
212.691,90.9326
213.115,90.9107
213.553,90.8889
213.99,90.8669
214.424,90.8456
214.854,90.8248
215.283,90.8045
215.705,90.7845
216.15,90.7663
216.584,90.7479
217.022,90.7293
217.45,90.7105
217.886,90.6923
218.321,90.6736
218.751,90.6549
219.189,90.6362
219.62,90.6158
220.053,90.5954
220.491,90.5746
220.916,90.5535
221.353,90.5306
221.787,90.5078
222.231,90.4845
222.659,90.4609
223.088,90.4356
223.519,90.4109
223.961,90.386
224.397,90.361
224.834,90.3353
225.257,90.3096
225.68,90.2831
226.117,90.2558
226.558,90.2268
226.996,90.1985
227.43,90.1705
227.862,90.1427
228.294,90.1135
228.732,90.0852
229.172,90.0565
229.601,90.0275
230.04,89.9989
230.472,89.9706
230.91,89.9426
231.343,89.9146
231.775,89.8859
232.207,89.8567
232.649,89.8264
233.08,89.7951
233.52,89.7615
233.957,89.7286
234.4,89.6956
234.825,89.6622
235.263,89.6263
235.691,89.591
236.13,89.5554
236.558,89.5197
236.998,89.4835
237.431,89.4476
237.873,89.4116
238.309,89.3756
238.736,89.3399
239.174,89.3039
239.607,89.2674
240.05,89.2306
240.493,89.1919
240.921,89.1524
241.359,89.112
241.794,89.071
242.228,89.0262
242.666,88.9826
243.109,88.9385
243.535,88.8939
243.966,88.8489
244.4,88.8017
244.835,88.7549
245.279,88.7077
245.716,88.6602
246.146,88.6105
246.594,88.5611
247.028,88.5112
247.459,88.4609
247.897,88.4085
248.35,88.3562
248.775,88.3035
249.212,88.2506
249.642,88.1968
250.086,88.1442
250.526,88.0917
250.958,88.039
251.392,87.9865
251.831,87.9323
252.269,87.8767
252.718,87.82
253.146,87.7595
253.583,87.6995
254.031,87.6388
254.466,87.5774
254.909,87.5112
255.342,87.4452
255.782,87.3779
256.218,87.3094
256.663,87.2358
257.099,87.163
257.537,87.0892
257.975,87.0144
258.412,86.9354
258.851,86.8577
259.293,86.7793
259.738,86.7002
260.165,86.6188
260.611,86.5378
261.06,86.4564
261.492,86.3742
261.931,86.289
262.38,86.2035
262.818,86.1167
263.253,86.0287
263.694,85.9353
264.142,85.8428
264.586,85.7493
265.027,85.6549
265.462,85.5555
265.9,85.4576
266.35,85.3591
266.795,85.2596
267.238,85.1563
267.683,85.0528
268.122,84.9479
268.566,84.8419
269.008,84.7294
269.452,84.6171
269.907,84.5031
270.354,84.3877
270.786,84.265
271.237,84.143
271.675,84.0189
272.123,83.8932
272.569,83.7597
273.01,83.6268
273.46,83.4922
273.905,83.3559
274.347,83.2184
274.803,83.0729
275.251,82.9288
275.694,82.7827
276.144,82.6348
276.594,82.4802
277.033,82.326
